# UI General & Window
ui.window_title|TunePerf - Optimizador de Sistema Linux Inteligente
ui.about_title|Acerca de TunePerf
ui.about_ok|OK
ui.about_warning|Advertencia
ui.about_error|Error
ui.about_success|Éxito

# Sidebar Navigation & Root
ui.sidebar_welcome|Bienvenido
ui.sidebar_role|Rol del Sistema
ui.sidebar_profile|Perfil de Uso
ui.sidebar_policies|Políticas
ui.sidebar_editor|Editor de Parámetros
ui.sidebar_optimization|Optimización
ui.root_privileges|Privilegios Root
ui.active|Activo
ui.inactive|Inactivo

# Wizard Bottom Buttons
ui.btn_back|Atrás
ui.btn_next|Siguiente
ui.btn_apply|Aplicar Optimización
ui.btn_restore|Restaurar Copia de Seguridad
ui.btn_exit|Salir
ui.btn_finish|Finalizar

# Page 0: Welcome
ui.welcome_title|Bienvenido a TunePerf
ui.welcome_desc|TunePerf te ayuda a optimizar el rendimiento de tu sistema Linux ajustando automáticamente los parámetros del kernel, los buffers de red, los planificadores de CPU y los modos de ahorro de energía según el rol del sistema y la carga de trabajo.
ui.welcome_start_desc|Por favor selecciona el rol del sistema para comenzar.
ui.hardware_info|Información de Hardware del Sistema
ui.hardware_cpu|CPU:
ui.hardware_mem|Memoria:
ui.hardware_kernel|Kernel:
ui.hardware_net|Interfaz de Red:

# Page 1: Role Selection
ui.role_title|Seleccionar Rol del Sistema
ui.role_desc|Elige el rol principal de esta máquina. Esto configura la planificación básica, la memoria virtual y las prioridades predeterminadas de los procesos.
role.desktop.name|1) Portátil / Escritorio
role.desktop.desc|Uso general, multimedia ligero, optimizaciones de batería
role.workstation.name|2) Estación de Trabajo
role.workstation.desc|Compilación, cargas de desarrollo, alojamiento de modelos de IA, contenedores
role.gaming.name|3) Máquina de Juegos
role.gaming.desc|Juegos AAA, enfoque en baja latencia competitiva, ajuste de CPU
role.server_light.name|4) Servidor (Ligero/Medio)
role.server_light.desc|Nginx, reverse-proxies, NAS doméstico (Samba/NFS), tareas ligeras mixtas
role.server_heavy.name|5) Servidor (Carga Alta / BD)
role.server_heavy.desc|Hosts de bases de datos PostgreSQL, MySQL/MariaDB, cachés Redis, Elasticsearch
role.vm_guest.name|6) Invitado de Máquina Virtual
role.vm_guest.desc|Runner CI/CD, optimizaciones de invitado VM, contenedores sandbox

# Page 2: Usage Profile
ui.usage_title|Seleccionar Perfil de Uso
ui.usage_desc|Elige cómo usas este sistema para ajustar el almacenamiento en caché de red, los algoritmos de congestión TCP y los buffers de lectura anticipada del disco.
usage.desktop.1.name|1) Navegación Web y Oficina
usage.desktop.1.desc|Pequeña huella de memoria, priorización de tareas en segundo plano
usage.desktop.2.name|2) Navegación Intensiva y Multimedia
usage.desktop.2.desc|Descriptores de archivo aumentados, almacenamiento en caché para reproducción 4k
usage.desktop.3.name|3) PC Home Theater (HTPC)
usage.desktop.3.desc|Prioridad de planificación de audio, operaciones silenciosas
usage.desktop.4.name|4) Código ligero / Scripts
usage.desktop.4.desc|Equilibrio entre rendimiento de compilación e interactividad de escritorio
usage.workstation.1.name|1) Compilación de Código
usage.workstation.1.desc|Almacenamiento en caché pesado de CPU/RAM, planificación paralela masiva
usage.workstation.2.name|2) Host Docker / Contenedores
usage.workstation.2.desc|Aumento de límites de subprocesos, aumento de límites de mapas
usage.workstation.3.name|3) Host de Máquinas Virtuales
usage.workstation.3.desc|Ajustes de equilibrio de nodos NUMA, Fusión de Páginas Idénticas del Kernel (KSM)
usage.workstation.4.name|4) Procesamiento de Audio / Video
usage.workstation.4.desc|Prioridad de planificación de hilos de audio pro de baja latencia
usage.workstation.5.name|5) IA / Aprendizaje Automático
usage.workstation.5.desc|Escalado de bloqueos de GPU, omisión de límites de asignaciones de memoria masivas
usage.gaming.1.name|1) Juegos AAA / 3D Intensiva
usage.gaming.1.desc|Conteos de mapas de memoria altos, escrituras dirty minimizadas
usage.gaming.2.name|2) E-sports Competitivos
usage.gaming.2.desc|Baja latencia extrema, prioridad de aislamiento de hilos de núcleo
usage.gaming.3.name|3) Emulación (CPU Intensiva)
usage.gaming.3.desc|Optimizaciones de procesador de un solo hilo
usage.gaming.4.name|4) Juegos en la Nube / Streaming
usage.gaming.4.desc|Minimización de latencia de buffers de red, tareas de red prioritarias
usage.server_light.1.name|1) Servidor Web / Proxy Inverso
usage.server_light.1.desc|Backlogs TCP optimizados, cierre de sockets más rápido
usage.server_light.2.name|2) Servidor de Archivos (NAS)
usage.server_light.2.desc|Límites de caché de archivos dirty aumentados, planificadores I/O de alto rendimiento
usage.server_light.3.name|3) Servidor Multimedia (Plex)
usage.server_light.3.desc|Escalado de buffers de red y bloques para streaming multimedia continuo
usage.server_light.4.name|4) Propósito General / Mixto
usage.server_light.4.desc|Paquete estándar de optimización de servidor
usage.server_heavy.1.name|1) Base de Datos Pesada (PostgreSQL/MySQL)
usage.server_heavy.1.desc|Expansión de memoria compartida SysV IPC (50% RAM), páginas huge pre-asignadas
usage.server_heavy.2.name|2) BD en Memoria (Redis)
usage.server_heavy.2.desc|Desactiva desfragmentación de transparent hugepages para prevenir micro-stutter
usage.server_heavy.3.name|3) Servidor Web/App de Alto Tráfico
usage.server_heavy.3.desc|Colas somaxconn masivas, rango de puertos locales aumentado
usage.server_heavy.4.name|4) Big Data / Analítica
usage.server_heavy.4.desc|Mapas de heap masivos pre-asignados, límites altos de conteo de hilos
usage.vm_guest.1.name|1) Propósito General / Pruebas
usage.vm_guest.1.desc|Parámetros vm mínimos limpios
usage.vm_guest.2.name|2) Runner CI/CD / Nodo de Build
usage.vm_guest.2.desc|Governor de escalado de CPU rápido, backlogs de red altos
usage.vm_guest.3.name|3) Aplicación Sandbox
usage.vm_guest.3.desc|Presión de caché de sistema de archivos minimizada
usage.vm_guest.4.name|4) Uso de Escritorio / GUI en VM
usage.vm_guest.4.desc|Responsividad de pantalla mejorada

# Page 3: Policies
ui.policies_title|Políticas Avanzadas del Sistema
ui.tab_system_policies|Políticas del Sistema
ui.tab_logs|Gestión de Registros
ui.tab_misc|Otras Optimizaciones
ui.help_title|Explicación del Parámetro
ui.help_desc|Pasa el cursor sobre cualquier configuración o parámetro para mostrar aquí su descripción detallada y nombre del kernel.

# Page 4: Review
ui.review_title|Revisar Parámetros de Optimización
ui.review_desc|A continuación se muestra la lista de parámetros que se modificarán. Puedes revisarlos antes de aplicar.
ui.review_hdr_param|Parámetro
ui.review_hdr_val|Valor Recomendado

# Page 5: Apply & Execution Status
ui.apply_title|Aplicando Optimizaciones de Rendimiento
ui.apply_status_starting|Iniciando ejecución...
ui.apply_status_running|Aplicando optimizaciones de ajuste, por favor espera...
ui.apply_status_restoring|Restaurando configuraciones originales, por favor espera...
ui.apply_status_success|¡Optimizaciones aplicadas con éxito!
ui.apply_status_success_partial|Algunos parámetros no se pudieron aplicar. Verifica el registro de ejecución para detalles.
ui.apply_status_success_restore|¡Restauración completada con éxito!
ui.apply_status_failed|¡La ejecución de la optimización falló!
ui.apply_status_failed_restore|¡La ejecución de la restauración falló!

# About Dialog Details
ui.about_version_tde|v%1 - para Trinity DE
ui.about_version_static|v%1 - tqt3 estático
ui.about_by|por Seb3773

# State Status & Checkbox Values
Enabled|Habilitado
Disabled|Deshabilitado
Local-Only|Solo Local
Disable Completely|Deshabilitar Completamente
Keep Enabled|Mantener Habilitado
Not Installed|No Instalado
Unsupported|No Soportado

# Sysfs Command Label Keys
label.EEVDF Scheduler base slice time|Tiempo de segmento base del planificador EEVDF
label.Transparent Huge Pages (THP)|Transparent Huge Pages (THP)
label.THP Defragmentation policy|Política de desfragmentación THP
label.Khugepaged daemon defrag sleep cycle|Ciclo de sueño de desfragmentación del demonio khugepaged
label.ZRAM Compression Algorithm (zstd)|Algoritmo de compresión ZRAM (zstd)
label.ZRAM CPU Compression Streams scaling|Escalado de flujos de compresión CPU ZRAM
label.Block devices I/O Read-Ahead Buffer size|Tamaño del buffer de lectura anticipada I/O de dispositivos de bloque
label.Block devices maximum I/O request size|Tamaño máximo de solicitud I/O de dispositivos de bloque
label.Disable I/O Merges for NVMe drives|Deshabilitar fusiones I/O para unidades NVMe
label.Disable disk entropy accumulation (reduces latency)|Deshabilitar acumulación de entropía de disco (reduce latencia)
label.CPU Scaling Governor|Governor de escalado de CPU
label.CPU Energy Performance Preference (EPP)|Preferencia de rendimiento energético de CPU (EPP)
label.Enable AMD P-State Active Mode|Habilitar modo activo AMD P-State
label.Force PCIe ASPM to maximum performance|Forzar PCIe ASPM a rendimiento máximo
label.Nvidia GPU Persistence Mode (keeps GPU awake)|Modo de persistencia de GPU Nvidia (mantiene GPU despierta)
label.Kernel Samepage Merging (KSM) for virtualization|Fusión de Páginas Idénticas del Kernel (KSM) para virtualización
label.Network Interface Transmit Queue Length (txqueuelen)|Longitud de cola de transmisión de interfaz de red (txqueuelen)
label.Ethtool Ring Buffer optimization (reduces packet drops)|Optimización de buffer de anillo Ethtool (reduce caídas de paquetes)
label.TCP Segmentation Offload (TSO/GSO/GRO)|Descarga de segmentación TCP (TSO/GSO/GRO)
label.Receive Packet Steering (RPS) multicore mapping|Mapeo de dirección de paquetes de recepción (RPS) multicore
label.tcp_bbr|tcp_bbr
label.sch_fq|sch_fq
ui.no_modules_warning|No hay módulos de kernel personalizados configurados.

Habilita 'Enable Experimental Tweaks' en el paso anterior
para activar módulos de alto rendimiento (BBR, FQ).
label.Enable Experimental Tweaks|Habilitar Ajustes Experimentales
label.Disable CPU C-States (Sleep states)|Deshabilitar estados C de CPU (estados de sueño)
label.disable_journald|Deshabilitar registros systemd journald
label.disable_rsyslog|Deshabilitar registros syslog y kernel (rsyslog)
label.disable_xorg|Deshabilitar registros Xorg y TDM
label.disable_boot|Deshabilitar registros de arranque y servicios
label.disable_pam|Deshabilitar registros de inicio de sesión y notificaciones de correo
label.disable_coredumps|Deshabilitar Core Dumps
label.disable_modemmanager|Deshabilitar servicio ModemManager
label.disable_nm_wait|Deshabilitar servicio NetworkManager-wait-online
label.disable_smbd|Deshabilitar servicio Samba smbd
label.disable_nmbd|Deshabilitar servicio Samba nmbd
label.disable_serial_getty|Deshabilitar servicio serial-getty
label.disable_colord|Deshabilitar servicio colord
label.disable_smartd|Deshabilitar servicio smartd
label.disable_usb_legacy|Deshabilitar módulos legacy usbmouse/usbkbd (a favor de hid)
label.disable_pcspkr|Deshabilitar módulo de altavoz de PC
label.disable_bluetooth|Deshabilitar servicio Bluetooth
label.disable_print|Deshabilitar servicios de impresión (CUPS/Avahi)
label.disable_apparmor|Deshabilitar AppArmor
label.disable_ufw|Deshabilitar Firewall UFW
label.disable_bluez_cups|Deshabilitar backend de impresión Bluez-cups
ui.help_desc_policy|Pasa el cursor sobre cualquier política o interruptor de registro para leer su propósito de optimización detallado.

# --- Parameter and command explanations dictionary ---
vm.swappiness|Controla la preferencia del kernel para intercambiar memoria anónima vs almacenar en caché archivos. Valores más bajos reducen el intercambio y la latencia, valores más altos aumentan el rendimiento bajo presión de memoria.
vm.vfs_cache_pressure|Controla la tendencia del kernel a recuperar objetos de directorio e inode de la caché. Valores más bajos mantienen los metadatos del sistema de archivos en caché, mejorando la responsividad para operaciones de archivo repetidas.
vm.dirty_background_ratio|Porcentaje de memoria del sistema que puede llenarse con páginas dirty (no escritas) antes de que el demonio de escritura en segundo plano comience a escribirlas en disco.
vm.dirty_ratio|Porcentaje de memoria del sistema que puede llenarse con páginas dirty antes de que cualquier proceso activo sea forzado a bloquear y escribir datos dirty en disco.
vm.dirty_background_bytes|Número de bytes dirty en los que el demonio de escritura en segundo plano comienza a escribir datos. (Mutuamente exclusivo con dirty_background_ratio).
vm.dirty_bytes|Bytes dirty en los que los procesos activos son forzados a bloquear y escribir datos. (Mutuamente exclusivo con dirty_ratio).
vm.dirty_expire_centisecs|Define cuánto tiempo pueden permanecer los datos dirty en memoria antes de ser considerados lo suficientemente viejos para ser escritos de nuevo en disco (en centésimas de segundo).
vm.dirty_writeback_centisecs|Define el intervalo en el que el demonio de escritura en segundo plano se ejecuta para verificar páginas dirty para escribir en disco (en centésimas de segundo).
vm.max_map_count|Número máximo de áreas de mapeo de memoria que un proceso puede tener. Crucial para aplicaciones pesadas (compiladores, bases de datos, juegos AAA vía Proton) para prevenir fallos de falta de memoria.
vm.compaction_proactiveness|Determina cuán proactivamente el kernel compacta la memoria para crear páginas libres contiguas. Valores más altos mantienen las hugepages disponibles pero pueden aumentar el overhead de CPU en segundo plano.
vm.watermark_boost_factor|Controla la agresividad del aumento de recuperación de memoria cuando se detecta fragmentación. Deshabilitar o bajar esto reduce micro-stutter bajo uso pesado de RAM.
vm.watermark_scale_factor|Define el tamaño de paso de marcas de agua de memoria libre. Aumentar esto hace que la recuperación de memoria se active antes, evitando picos de latencia de asignación directa.
vm.zone_reclaim_mode|Controla el reuso de memoria de nodo local en sistemas NUMA. Deshabilitar esto permite asignaciones de página desde otros nodos NUMA, evitando evicciones agresivas de caché local.
vm.page-cluster|Controla el número de páginas leídas del swap en un solo intento. Valores más bajos (como 0) reducen latencia para SSD/NVME, valores más grandes están optimizados para HDD mecánicos lentos.
vm.min_free_kbytes|Cantidad mínima de memoria libre (en KB) que el kernel preserva para evitar deadlock durante recuperación de memoria.
vm.dirtytime_expire_seconds|Tiempo en segundos después del cual metadatos dirty/time en caché deben sincronizarse con disco.
vm.extfrag_threshold|Umbral que indica cuando el kernel debería comenzar a compactar memoria en lugar de recuperar páginas debido a fragmentación externa.
vm.stat_interval|Frecuencia (en segundos) a la que el kernel actualiza estadísticas de memoria virtual, equilibrando overhead de rendimiento vs precisión.
vm.overcommit_memory|Define la política de overcommit de memoria del kernel. Modo 1 permite todas las asignaciones, mientras Modo 2 impone un límite estricto basado en swap y RAM.
vm.overcommit_ratio|Porcentaje de RAM física usado para calcular el límite estricto de asignación de memoria bajo modo overcommit 2.
vm.nr_hugepages|Número de hugepages persistentes pre-asignadas (usualmente 2MB) asignadas en RAM para virtualización o aceleración de base de datos.
kernel.sched_child_runs_first|Dice al planificador que ejecute primero los procesos hijo después de fork. Útil para shells y GUI interactivas para reducir latencia.
kernel.sched_autogroup_enabled|Agrupa tareas por sesión TTY para aislar automáticamente tareas de compilación/build de tareas GUI de escritorio, manteniendo la interfaz de escritorio fluida.
kernel.sched_cfs_bandwidth_slice_us|Establece el tamaño cuántico para límites de cuota CPU CFS. Valores más bajos reducen latencia de contenedor, valores más altos mejoran rendimiento.
