# UI General & Window
ui.window_title|TunePerf - Ottimizzatore di Sistema Linux Intelligente
ui.about_title|Informazioni su TunePerf
ui.about_ok|OK
ui.about_warning|Avviso
ui.about_error|Errore
ui.about_success|Successo

# Sidebar Navigation & Root
ui.sidebar_welcome|Benvenuto
ui.sidebar_role|Ruolo del Sistema
ui.sidebar_profile|Profilo di Utilizzo
ui.sidebar_policies|Politiche
ui.sidebar_editor|Editor dei Parametri
ui.sidebar_optimization|Ottimizzazione
ui.root_privileges|Privilegi Root
ui.active|Attivo
ui.inactive|Inattivo

# Wizard Bottom Buttons
ui.btn_back|Indietro
ui.btn_next|Avanti
ui.btn_apply|Applica Ottimizzazione
ui.btn_restore|Ripristina Backup
ui.btn_exit|Esci
ui.btn_finish|Fine

# Page 0: Welcome
ui.welcome_title|Benvenuto in TunePerf
ui.welcome_desc|TunePerf ti aiuta a ottimizzare le prestazioni del tuo sistema Linux regolando automaticamente i parametri del kernel, i buffer di rete, gli scheduler CPU e le modalità di risparmio energetico in base al ruolo del sistema e al carico di lavoro.
ui.welcome_start_desc|Seleziona il ruolo del sistema per iniziare.
ui.hardware_info|Informazioni Hardware del Sistema
ui.hardware_cpu|CPU:
ui.hardware_mem|Memoria:
ui.hardware_kernel|Kernel:
ui.hardware_net|Interfaccia di Rete:

# Page 1: Role Selection
ui.role_title|Seleziona il Ruolo del Sistema
ui.role_desc|Scegli il ruolo principale di questa macchina. Questo configura lo scheduling di base, la memoria virtuale e le priorità di default dei processi.
role.desktop.name|1) Laptop / Desktop
role.desktop.desc|Uso generale, multimedia leggeri, ottimizzazioni della batteria
role.workstation.name|2) Workstation
role.workstation.desc|Compilazione, carichi di sviluppo, hosting di modelli AI, containerizzazione
role.gaming.name|3) Macchina da Gioco
role.gaming.desc|Giochi AAA, focus su bassa latenza competitiva, ottimizzazione CPU
role.server_light.name|4) Server (Leggero/Medio)
role.server_light.desc|Nginx, reverse-proxies, NAS domestico (Samba/NFS), compiti leggeri misti
role.server_heavy.name|5) Server (Carico Elevato / DB)
role.server_heavy.desc|Host di database PostgreSQL, MySQL/MariaDB, cache Redis, Elasticsearch
role.vm_guest.name|6) Ospite di Macchina Virtuale
role.vm_guest.desc|Runner CI/CD, ottimizzazioni ospite VM, container sandbox

# Page 2: Usage Profile
ui.usage_title|Seleziona il Profilo di Utilizzo
ui.usage_desc|Scegli come usi questo sistema per ottimizzare la cache di rete, gli algoritmi di congestione TCP e i buffer di read-ahead del disco.
usage.desktop.1.name|1) Navigazione Web e Ufficio
usage.desktop.1.desc|Piccola impronta di memoria, priorità dei task in background
usage.desktop.2.name|2) Navigazione Intensiva e Multimedia
usage.desktop.2.desc|Descrittori di file aumentati, cache per riproduzione 4k
usage.desktop.3.name|3) PC Home Theater (HTPC)
usage.desktop.3.desc|Priorità di scheduling audio, operazioni silenziose
usage.desktop.4.name|4) Codice leggero / Script
usage.desktop.4.desc|Bilanciamento tra throughput di compilazione e interattività desktop
usage.workstation.1.name|1) Compilazione Codice
usage.workstation.1.desc|Cache pesante CPU/RAM, scheduling parallelo massiccio
